[1] "How metabolitees are associated with perceived safety? (permute within patients)"
[1] "Positively associated:"
                            Variables index correlation      qvalue pvalue
M6.12_272.1721m.z   M6.12_272.1721m.z  2092   0.5434668 0.000000000  0.000
M8.81_329.2332m.z   M8.81_329.2332m.z  5143   0.5196213 0.000000000  0.000
M6.69_258.1230m.z   M6.69_258.1230m.z  4118   0.5113691 0.000000000  0.000
M7.36_281.0413m.z   M7.36_281.0413m.z  1785   0.5107004 0.000000000  0.000
M7.78_317.1682m.z   M7.78_317.1682m.z  2752   0.4891054 0.000000000  0.000
M10.77_356.2351n     M10.77_356.2351n   543   0.4815701 0.000000000  0.000
M8.13_415.1972m.z   M8.13_415.1972m.z  1700   0.4730046 0.000000000  0.000
M0.73_272.0687n       M0.73_272.0687n   245   0.4694091 0.000000000  0.000
M5.85_476.2777m.z   M5.85_476.2777m.z   763   0.4670972 0.000000000  0.000
M4.04_197.1282m.z   M4.04_197.1282m.z  1979   0.4657887 0.000000000  0.000
M7.32_608.2727n       M7.32_608.2727n    24   0.4643346 0.000000000  0.000
M10.54_161.0327n     M10.54_161.0327n   878   0.4627790 0.000000000  0.000
M0.73_294.0508n       M0.73_294.0508n  1152   0.4624170 0.000000000  0.000
M1.97_167.0562m.z   M1.97_167.0562m.z  1718   0.4551429 0.000000000  0.000
M10.01_258.1836n     M10.01_258.1836n  1726   0.4537619 0.000000000  0.000
M10.01_439.2696n     M10.01_439.2696n   174   0.4529515 0.000000000  0.000
M7.25_578.2623n       M7.25_578.2623n   841   0.4525438 0.000000000  0.000
M5.03_168.0301m.z   M5.03_168.0301m.z  4263   0.4522885 0.000000000  0.000
M11.15_504.3077m.z M11.15_504.3077m.z  1875   0.4522037 0.000000000  0.000
M4.01_506.0494n       M4.01_506.0494n   976   0.4514258 0.000000000  0.000
M0.61_203.0672m.z   M0.61_203.0672m.z  3068   0.4501492 0.000000000  0.000
M7.49_376.1882n       M7.49_376.1882n  5080   0.4451202 0.000000000  0.000
M10.01_453.2852n     M10.01_453.2852n    52   0.4436759 0.000000000  0.000
M6.66_174.1255n       M6.66_174.1255n  3443   0.4435510 0.000000000  0.000
M4.01_196.0525m.z   M4.01_196.0525m.z  2095   0.4431582 0.000000000  0.000
M10.54_385.2384m.z M10.54_385.2384m.z  2592   0.4421256 0.000000000  0.000
M10.71_476.2776m.z M10.71_476.2776m.z  1130   0.4419080 0.000000000  0.000
M0.66_142.9480m.z   M0.66_142.9480m.z  2712   0.4402361 0.000000000  0.000
M10.84_476.2778m.z M10.84_476.2778m.z   311   0.4400064 0.000000000  0.000
M6.69_166.0508m.z   M6.69_166.0508m.z  4960   0.4393233 0.000000000  0.000
M5.31_223.0651m.z   M5.31_223.0651m.z  4817   0.4362144 0.000000000  0.000
M7.60_633.2816m.z   M7.60_633.2816m.z  2380   0.4360114 0.000000000  0.000
M0.56_263.0866m.z   M0.56_263.0866m.z  2442   0.4354466 0.000000000  0.000
