	T1	T2	T3	T4	T5	T6
time	T1	T2	T3	T4	T5	T6
DPM1	2.55793277395622	2.01089079721003	1.74330440185982	1.73547194275742	2.43318336031882	3.11141468514885
SCYL3	1.37851829380965	1.43208296459381	1.38584510704581	0.573223235112075	0.620188885184251	3.57917404345108
FGR	6.94856368552559	6.11114813121534	6.87537788110425	6.82926770030033	5.75649121827424	7.24267496252894
FUCA2	3.28262944980728	2.28482372115041	3.17266729074253	3.15038707146545	2.31654402134227	4.27392090332399
GCLC	1.81333801731034	1.69903839170089	2.21485586168932	1.78316377106031	1.55571194695671	2.81309769104985
NFYA	1.58209024694837	1.81189567923978	1.55778680171376	1.64250749808296	1.66551346380242	3.22122195287141
NIPAL3	3.07929655935365	3.37690169940506	2.97080832138679	2.75107239591342	3.74596643921135	4.85040086357745
LAS1L	2.88524306072412	2.42913112768998	2.8751995532444	2.56238957534167	3.3417332403065	2.63712328463093
ENPP4	1.77890786545104	1.2595130577093	1.91840760876222	1.62345524536879	1.08794806189342	3.61420316495919
ANKIB1	4.444107612314	4.1548205327727	3.87733118679643	4.24393002462319	3.86696224122645	5.28333646891794
KRIT1	2.31627349481036	2.99382330782941	2.63133727703476	3.62508074293144	2.427829875288	4.38422705393975
BAD	2.86679978231418	2.66412966977334	3.01795749535733	2.46538146146818	1.60633441288661	2.89794477610235
LAP3	4.20594298268456	3.28987711460932	3.68288043115886	2.26616083165116	3.79778368399804	4.90303243260015
CD99	6.77274845101474	6.16430679936056	6.79152780479408	6.44677944219566	6.49940311087221	6.99123758841325
MAD1L1	3.78021659678214	3.47507614734134	3.55788202328907	3.06409904061367	4.16642087592304	2.42341160517492
LASP1	6.40497778319072	5.53567241320408	6.27059637252633	5.93615769333398	5.21650817168575	6.80368737313323
SNX11	2.14363855707895	2.09170497710346	2.55860609415626	2.84419306619086	2.17897799443968	3.89869403361091
TMEM176A	3.40182559293545	2.71751055231472	3.34444124967977	2.82486439659084	3.63866090567685	4.99773571253716
M6PR	4.52323230493928	3.94081392410461	4.40872642055843	4.24522101584711	3.59470327965873	5.65762205151312
CASP10	2.71386528651417	2.50912709204304	2.42333420653399	2.72226340037002	2.16844998417972	0.164524736167418
CFLAR	6.71935621511568	6.41007058636732	6.58171787754241	6.45155988994546	6.14837368213531	6.74892086735911
NDUFAF7	0.842593865105564	1.50995333635309	1.18441843650427	0.382727128042565	0.300923194600726	1.39425268731605
RBM5	3.93776882678233	4.79844195869575	3.54723299523524	3.90970765903452	4.78484779620179	4.32939361059473
POLDIP2	3.46894863184315	2.88067522261077	3.88485647195495	3.18541088606643	3.86658836279325	3.20699562939768
PLXND1	2.00174733292999	1.70766484714799	2.09613644877216	1.56092980222603	2.35972882800745	2.83457498191485
AK2	4.53197038172434	4.00015189837178	4.61524493712842	3.12911600227698	4.49337509958848	4.8371268923161
CD38	2.99446617821733	2.70133042170439	2.46964746742276	2.88954413948883	2.4214128100185	3.23101655513178
FKBP4	2.82072584371807	2.57094034919181	2.64920987299941	2.069838393423	2.1245997215962	4.36549826989032
KDM1A	2.14212898796684	2.20406111809191	1.64351554374951	2.16063221251601	1.49788196302444	1.82259997856588
RBM6	3.67317008040887	4.71126822853424	4.04584703145128	4.04626592757922	4.39617859385095	5.48593971653544
RECQL	3.93926853451078	3.82580808737903	3.94887584169241	4.6876086709939	3.09074228408579	4.50648471547354
VPS50	1.44411967934117	1.47445819342348	1.28298122828214	0.421091465374494	1.27814172760579	3.91845071703503
NDUFAB1	5.37370534992497	4.36235429302649	5.36655939867702	5.89435067980823	5.18161650796361	5.96195569189595
PDK4	3.28730178051988	2.9588559483802	3.42764634737191	2.68215926057665	1.89985290512599	1.7297888427614
SLC25A13	1.36548143450264	2.20614347694134	2.09592948839044	2.60899506126404	2.46816708453788	1.51526748256631
CDC27	4.25884834058913	4.00235914267955	4.23192774583314	4.62399262625491	4.14377861716261	5.21461549666799
HCCS	3.3063298198508	1.97865192924353	2.84850222156513	3.06938377514942	1.79073008160523	3.81819916455181
DVL2	2.21939052251859	1.8364924687867	1.90101093267417	1.95850781339035	2.88736236171651	1.03724308364844
UPF1	3.69626490386792	3.39091358936405	3.4925572073753	2.65145906164551	4.04046408699551	4.01650561639501
SKAP2	6.45645904370254	5.75830170590454	6.33523912752145	6.41023769013317	5.25665344485978	6.85462899563479
SLC25A5	6.88953048313764	5.93677208707591	6.8495929692646	6.8027453641126	6.52748372617122	7.30096131332291
MCUB	6.09030419715248	5.57690044172182	6.18498614693154	6.21239934097159	5.9097759592206	6.92692427380375
POLR2J	5.10673324701489	4.61496685197439	5.1809711040908	4.89024202425118	4.59675015814883	5.38169673307147
DHX33	1.16010318729278	1.52511805626954	1.56934220403689	0.448135324158083	1.8959790075064	0.96094581165883
LIG3	3.02623942059816	3.38636445077119	2.77414705197023	2.79201257068026	3.71813119662258	2.65482241711239
RPAP3	4.71695930145205	4.07439710965639	4.26008137003598	4.87612154829521	4.24754200042777	4.38246176280569
CIAPIN1	2.45611395808689	1.72011963587647	2.50671162005723	2.70395723226186	3.72129946514105	1.28049917064085
SPPL2B	1.19989149249487	1.74667122614277	1.55507066453861	0.33471581763489	1.06419708856936	0.71148310914847
FAM214B	1.66857205289562	1.53209914506335	2.48172673251628	1.28303941934256	1.21175066224109	1.52511820757519
PRKAR2B	5.96916428718344	4.55753433250973	6.03591171694823	5.61896313124484	5.00044091174897	6.6365873291625
MSL3	4.55912734916536	4.76320362131519	4.31583553848948	4.55216250758226	4.62404635628567	4.81561533592109
CREBBP	5.14713582961919	5.39548283419943	5.02579925488336	5.09355578708838	5.38091737990538	4.76382747682245
GCFC2	1.76098309792798	2.01722276775315	2.2489184584745	1.27685122740636	2.50354592960507	2.11179422267618
WDR54	3.08344265636364	2.81511123348103	2.96245796497882	3.78497738990257	2.67570631452589	3.76821937702652
KMT2E	7.59438752778167	7.75818914703975	7.60946160978996	7.40983271131746	7.98125130343357	7.71752367570834
RHBDD2	3.71539130287725	2.8656409667061	3.60976877924816	3.30729745121251	3.64696891731851	4.00786494931388
IBTK	4.84419666619459	4.55332478776854	4.557672188572	4.55188875740916	4.64030529768023	5.56466034821318
ZNF195	2.10290794554246	1.82371728141718	2.08117578857217	1.86288336915908	1.1305362599973	1.63370826130245
MYCBP2	6.10264189864849	6.37609606715436	6.00707443336627	6.10840614910217	6.6378284353034	6.70804515390815
FBXL3	3.66965660291179	3.39281425483336	3.96843477987021	3.8035680303033	3.55103996814415	4.96653047853479
ITGAL	6.63475410433453	6.33180159027029	6.60480999566802	6.13785422648987	6.47853134437608	6.72839204800986
PDK2	1.61659156814043	1.84196677045226	2.00152951113018	2.35830679243338	2.44694768202889	1.7088064927147
ZFX	3.95890581456688	3.85693679992467	3.92571085061065	3.4240243628433	3.88076882342233	4.89413303604157
LAMP2	5.75844091873663	4.7235441962761	5.62175825220277	5.46316385032294	4.31560911973899	6.40854834030446
ITGA2B	4.35095693465326	2.64430591063282	3.94148570730716	3.48997788462074	3.62616600781734	5.03803700438985
GDE1	5.36017579256167	4.83096864170846	5.29151921128932	5.01574475914398	5.02299580792422	5.32704329140159
MAP3K14	1.97993206309407	2.25160489584123	1.76767629029582	1.79627404268774	1.57762882225592	1.91008195241688
AP2B1	6.13440616986233	5.73859897480243	5.70462657704442	5.86133593826387	5.86950790187372	6.50060501562311
ZNF263	1.71551437913499	1.635802852275	1.91292537415917	1.79061653549946	1.66455871592688	2.76187511674212
RALA	4.77423970339374	4.11767995480267	4.26165064299234	5.02946735212241	3.93782882991639	5.36810624545609
KDM7A	3.53868438189245	3.99098370346302	3.45021102198425	2.81485191313599	4.29330834293645	4.13312545294606
AGK	1.48521353699684	0.675383444270505	1.36456814541435	1.64922722532246	0.702915499575161	0
ALDH3B1	4.44561910233982	4.09635022294024	4.62111460657923	4.03805964438124	3.24566007910528	5.46151852130404
PHTF2	2.50737702369768	2.55467906441321	2.29000921069428	2.03666505716157	2.72952128477205	3.53711500809203
FARP2	1.14049625112282	1.47565320436811	1.00532717930822	1.35982032453172	1.13044618717239	2.56830413751931
GGCT	2.26771500094736	1.57877039069436	1.92511660762663	1.41105254857515	2.57019303778519	2.56064209564121
DBF4	3.93460295976813	4.40747196802539	4.27861066535094	4.34334401657931	4.09071332995442	4.6014862727876
IFRD1	3.99564381948383	3.85730317738537	3.68476547799419	4.26698003588765	4.3389530017954	3.65235446379893
COX10	2.49644527206484	1.44671722445908	1.80842095300255	2.0474143576396	2.32554541716768	4.47485561004694
PAF1	3.30841723368333	3.1494069460435	3.03427001627973	3.47811450081179	3.01506759433118	3.70218037042617
VPS41	3.97491133530465	4.04354343932391	3.39436580923105	3.76234419797769	3.36675528291627	5.20094578428236
ELAC2	2.36906829112331	1.87384425342454	2.25922356690279	2.04284083453618	3.17228453802553	2.49243342301348
ARSD	3.80374448602985	3.62278694796912	3.42214063159034	3.04894211077946	2.30874500123044	4.61249251109335
PNPLA4	1.4782742492333	1.58946101122039	1.02142565693053	0.540714989637838	1.94173255951025	1.03341059344091
ADIPOR2	3.80714983107635	3.69083150799624	3.95844063405575	3.29941943398646	2.97017451918183	4.54175455375538
MARK4	2.11065371912776	1.77221071034959	1.84824585602617	2.14289203745512	1.26092630909227	2.39292344044364
CCDC124	1.33516547415391	2.14136030434548	1.68234440975849	1.42418830471792	1.63092103269874	2.60759194618452
PAFAH1B1	4.28008107033871	4.099853830334	4.11774364031666	4.53002177823259	4.43504909194215	5.01579258971304
KIAA0100	2.90249358426	3.12023623919796	3.31502929485694	3.4166373496456	3.85125886722106	3.65421799024591
GAS7	4.63142809860313	4.53106383646444	4.84897826262316	3.8529875035498	4.91479685550342	4.89883319007562
TRAPPC6A	4.31041435028384	4.19908508140136	4.34534711672408	4.08913721254361	4.285175329314	5.04245600636038
MATK	3.34872968388595	3.55101725808457	3.20853878236899	2.17559967907423	2.5859659458101	1.32100259455349
CD79B	3.85528397546417	3.99281747529745	3.61130480776128	4.70128299735775	4.00496985948267	5.17397651370738
ST7L	1.30033641710728	1.13787410262206	1.59364503850343	1.87664820063645	0.842102253582785	1.39264800497311
TKTL1	1.03373403932108	1.93908755336569	1.62695549708282	1.66266478597092	0.903965397901203	2.54289162470365
RPUSD1	1.79773650752812	1.69487845705865	1.90223427473226	1.53845237436243	1.57133563196457	3.71667040577345
LUC7L	2.33665554447618	2.98031991290147	2.24038865573402	2.66344878670146	2.44630211638838	3.20909418042279
TSR3	3.76558822919335	3.98343076586064	3.7588139798116	3.73044250732661	3.50538822617375	4.11454729614337
CRAMP1	0.815189868962962	0.862133271111733	1.12658368945455	1.62922392738459	1.13303982237796	1.36840995210431
DNAJC11	1.52399025661164	1.16235769519699	1.29052364645007	2.42236404497408	1.90352556851271	2.80953392998924
MYLIP	6.30676657682846	5.77794799419209	6.19842361635655	6.27942394452446	6.22255245647894	6.99753524762517
PSMB1	5.95903222231009	5.24349729082152	5.79722165926952	5.25547982139667	5.45865715938049	5.69170423499855
JARID2	5.76751902220859	5.78385015462082	6.20863383894438	5.71460997709491	5.98936303583604	6.28108663542336
NADK	3.530380908867	2.37165567563617	3.44703955963727	3.39033539425461	1.84975558752181	4.13915116470264
SYPL1	3.97739962121824	3.63520463588998	3.88931798037087	3.37600290760655	3.26407137087235	4.88792273065099
CYB561	2.66962617474665	2.91050727998882	2.60140021998471	3.81233477753868	2.6643125022799	2.76740526803112
SPAG9	4.14192793704511	4.48458096640366	3.74810854976392	4.65181724850873	4.44943575052791	4.04945826037321
SS18L2	4.04333794547031	3.44227196653365	4.15991983072536	2.93465917034344	3.90394313788971	4.80402828751302
MPND	1.75140522452604	2.17388647476773	2.0504760851595	1.61316953069054	0.779609320595312	3.09878754766294
MGST1	3.5716697147579	2.76609440593669	3.38970433526979	2.62770528027407	2.48668985348985	3.56695139866119
CRY1	1.30855152781795	1.56166963579478	1.37697194902766	2.24134660049136	1.88771751750028	2.01534361177368
NFIX	0.873682557861992	1.12746719162553	0.913143948796896	1.54533742439381	0.485396098622582	1.0789459013243
ST3GAL1	5.4814452100917	5.44770955810746	5.46720493534591	5.23117706739731	5.27054695168848	5.38213864257471
IL32	1.35378966672813	1.09143859825672	1.60182637007196	2.15077205718394	1.22454983821173	1.268655850289
PKD1	1.53515564158847	1.98669744263952	0.841150925249436	1.55572157806385	1.57381297712822	0
MED24	2.10798668126474	2.01182479412835	2.26702974493389	1.72238288534844	2.27069430906845	3.82874904963053
RHOBTB2	1.67547839879589	1.35250864524877	1.2216688742604	0.253980882257394	1.45289559514822	2.39952308796665
HEATR5B	1.76204997820427	1.9915231147342	1.78943083433159	2.69886924241166	2.05840847059671	3.45626512188615
SEC62	6.50119537460062	6.21431020611412	6.2653127063174	6.64238693942461	6.5608878433542	6.91281009008472
RPS20	11.3095286297624	10.8889249285261	11.3490994233639	11.4105882883091	11.3852672021782	11.6385563670328
CSDE1	8.11168427873286	7.6616758596702	8.19072902224748	8.01676864839861	8.08913764034675	8.52707603565506
UBE3C	4.6649951150132	5.07926226369123	4.83332210705978	4.66145728459119	5.26413371322325	5.58687291365798
REV3L	3.24455838872869	3.82323033471629	3.36239778985856	3.30699582035383	3.44855779356937	4.03343660469415
FAM76A	2.86521074185306	2.95969940742522	2.88496796509314	2.787317553106	2.67262956309128	2.16285549715741
TRAF3IP3	6.39995423554557	5.90594115551881	6.37881285174274	6.74949974944334	6.1221880868317	7.30086894008169
VTA1	3.04158873933037	2.55962745178355	2.92976372098578	3.43790534882918	2.33708502499814	2.31175018927065
BAZ1B	4.44385584153005	4.52506637130336	3.95460284375907	5.09002192194121	3.49114746339056	4.38889665282233
RANBP9	2.2239062929634	2.56942344693945	2.63820419782803	2.60243843126986	2.19111763876471	3.18478367293817
SPRTN	1.86456036151834	2.04421894204999	2.14876791528091	1.62032695743116	1.62813795968278	2.88760582132531
METTL13	1.49557275581197	1.23235409181789	0.974290248671904	0.617141595853825	0.734120988455893	3.37408302753774
DYRK4	2.16164566465035	1.85185492818863	2.1177505429989	2.26202197426516	2.30614316353748	2.55190934639653
ZNF207	6.10938856218931	5.99691087387066	6.17800113245374	5.98420972918099	5.99298806434463	6.57768801831443
UQCRC1	4.81223454087985	4.13349546764347	4.52853945784412	4.47737904934887	4.55200468267543	4.91137945963615
STARD3NL	3.01232938422426	2.06936158788599	2.90829067300122	1.73068916851759	2.43292778496827	3.3546124990567
NCAPD2	3.02615673950428	2.59266100314107	2.68896950930626	2.59382195290039	2.81620183980633	2.90136264561593
IFFO1	2.16984424418928	1.57361285334295	2.0195850783827	2.14838344236605	1.94737798158533	2.2696122845109
PHF7	1.34204429978149	1.81540103325418	1.27687535537076	1.30636270324507	1.21340651129552	1.31049947765029
NISCH	3.10626807726678	2.75138594029065	3.08197946078626	2.72347850145035	3.14111067200519	3.29999507933092
IDS	6.87040121681328	6.53177989038809	6.79987082118155	6.64412386928084	6.55636534228095	7.33501806533503
CD4	5.24977581782002	5.03571237179847	5.15543016112471	4.96526318974283	4.99538351253075	5.22669207211543
BTK	2.5862372863587	2.42179062484664	2.59086259878666	2.68591132691743	2.60339458332104	3.30642192021963
FYN	6.58649148355188	6.56133787657079	6.66152917831899	6.5178870255242	6.61599651370378	7.28111200408754
HIVEP2	3.41408290415599	2.8032002800633	3.33969991610822	3.82141412600083	3.79199526804035	4.3193622374325
ELOA	2.96071608073798	2.99800963095829	3.3156689044212	3.53623149745452	3.40521843372467	3.36832245770999
LYPLA2	3.52314223135145	3.25509530818334	3.45680760829109	3.17274443034922	3.36063940333011	4.53254948316529
BTBD7	4.04819696876294	3.73145331780776	3.77249506124918	4.48498684043882	3.26093378446338	4.58434663923525
APBA3	1.63791305001376	1.39887054162159	1.308182965132	1.34101744206954	1.18685898515647	3.48470353752271
ABHD5	1.95304351929546	0.967948647671594	1.79642491439901	2.32265654857197	0.937224362588981	0.0113808632883189
AKAP8L	2.55172113267509	2.91022781200185	2.81383490412253	2.66021045196108	3.19647072194209	1.88211672791809
MBTD1	1.45048697855429	1.92583940574448	1.70880669142079	2.24827081326561	1.99958220931876	2.04862394693676
UTP18	3.57975541758584	3.17129746415707	3.21511618099305	3.75256593618991	3.98113651747551	2.83510255649029
RNF216	5.29198769185776	5.2057918114594	4.77898201764119	5.18412710691424	5.30248951651932	5.39502982613022
TTC19	4.19789084863077	3.48122140830194	3.96283889369546	4.0776971822629	3.02055349553658	4.79874402209397
PTBP1	6.0681757160162	5.57148207528147	6.10560564243948	5.80507625908854	5.54702859260615	6.68599631309052
PIK3C2A	3.82947271124271	4.30657794931294	3.80584931506738	3.80052251501764	4.40323057283837	4.7744575722308
PLAUR	6.45489755203125	5.22596285986124	6.59074994694589	5.63840850134692	5.24388456329791	7.44833378632128
WIZ	1.17963558240435	1.20209829275268	1.40978506561786	1.24150043268521	1.58611056276351	0
RABGAP1	3.33340496534576	3.97702812097336	3.9116859821968	3.60703573575541	3.24069504258698	5.40375495178367
PPP5C	0.952625787868983	0.74851108065292	0.813766952466236	0.957333051136421	0.678620089848802	3.37057280504035
CEP68	2.59249484569183	2.45229098029899	2.51975159273425	3.04881611971843	3.32106764065123	3.74132128930004
TYROBP	9.11831419487902	8.32531082727096	9.09541019570814	8.63181934913466	8.02972341947462	8.94745174290763
ERCC1	3.88424607427675	3.63865068838644	3.81949624720755	4.04191336911792	3.42850111009813	4.6548459315934
CD22	2.95275925701303	2.84834518803874	2.25203181391854	2.56172611561871	3.25314912107683	4.56381287182978
EXTL3	1.67885418419419	1.38671441028684	2.13700857055908	1.65338277345774	1.69845036639557	2.19815448189109
ELOVL5	4.45498657743204	4.06570114066826	4.6677124369473	3.78787392539451	4.86564575724021	4.90836513077538
ALOX5	4.01123812245644	3.43611541492472	4.24616060521941	3.36627932902046	3.66812541320721	5.33227417462604
CALCOCO1	1.45476064810359	1.12691243570272	1.46021606016286	0.68255059829325	1.50712717585759	3.02783384213197
UBR7	2.44867980202321	2.25343262843544	2.67444502152158	2.03483699149937	2.03430631082334	3.62039098120234
MAP4K5	3.73861678426183	3.63732088199883	3.21092912188137	3.85032596178283	4.32661630352555	3.21352741516707
EHD3	1.92890422712827	1.265360869367	1.72383905126625	2.06198149107197	1.21643841845906	2.58398111814963
PSMC4	4.26131641527041	3.91421798353615	4.15273402507555	3.85848405850836	3.59818604381951	5.20588223222081
MAN2B2	2.28686172291537	2.19697773116228	2.02968036391592	2.46190802550064	1.84698000401892	2.44898226586647
SLC25A39	4.19488710406899	4.05224302402641	4.40123914463441	4.21549374846723	4.28633959735592	5.08991577873413
MVP	4.73459680416916	4.35103063786907	4.91080480264321	4.89381167336973	3.27289386988768	4.79363322468001
NUB1	6.18859581888212	6.03121298342633	6.2073296702363	6.12577237638483	6.15102669137778	6.5004469056969
CLK1	5.14601123235051	5.44226677945621	5.1297826833383	5.77290274364933	5.42673675615943	6.04295324240592
RNF14	1.70488073567041	1.53405358166065	1.34554720326531	2.48765369395974	0.344400278872469	3.63980787580834
DNASE1L1	2.09504351011475	2.41100065412878	2.41968911023134	1.25255965533706	2.49615176024693	2.85389656816976
HEBP1	3.7150343487442	3.02907597724741	3.32734870572235	2.21946789007111	1.89931044996915	3.66115734357247
CD6	4.53431464438572	4.76336428630749	4.69404857778522	4.85916945694212	5.22588789549702	4.49056402425978
