                            Variables index correlation     qvalue pvalue
MIP1D.MIP5.CCL15     MIP1D.MIP5.CCL15    66  -0.3460036 0.00000000  0.000
EOTAXIN3.CCL26         EOTAXIN3.CCL26    52  -0.2295600 0.05320000  0.007
CTACK.CCL27               CTACK.CCL27    63  -0.2281268 0.05320000  0.007
IL21                             IL21    60  -0.2175848 0.08142857  0.015
RESISTIN                     RESISTIN    72  -0.2120704 0.06218182  0.009
IL33.NFHEV.MATURE. IL33.NFHEV.MATURE.    57  -0.2089225 0.07600000  0.012
IL1A                             IL1A    18  -0.2004525 0.08142857  0.015
SDF1A.B.CXCL12         SDF1A.B.CXCL12    64  -0.1861223 0.13775000  0.029
LIF                               LIF    53  -0.1851327 0.15200000  0.038
MIF                               MIF    70  -0.1816618 0.15200000  0.038
