             Variables index correlation     qvalue pvalue
TARC.CCL17   TARC.CCL17    50   0.3471627 0.00000000  0.000
IL4                 IL4    24   0.3218717 0.00000000  0.000
PDGFAA           PDGFAA    36   0.2874609 0.01520000  0.001
GROA               GROA     8   0.2669944 0.03800000  0.003
FAS                 FAS    73   0.2628847 0.00000000  0.000
ENA78.CXCL5 ENA78.CXCL5    65   0.2433462 0.04342857  0.004
IL5                 IL5    25   0.2188624 0.04750000  0.005
IL7                 IL7    27   0.1985727 0.08613333  0.017
IL18               IL18    17   0.1836600 0.15580000  0.041
PDGFAB.BB     PDGFAB.BB    37   0.1833647 0.14305882  0.032
