                            Variables index correlation     qvalue pvalue
M8.81_329.2332m.z   M8.81_329.2332m.z  5143  -0.4731117 0.00000000  0.000
M9.50_333.2066m.z   M9.50_333.2066m.z  3726  -0.4609961 0.00000000  0.000
M10.93_415.2250m.z M10.93_415.2250m.z  3095  -0.4538817 0.00000000  0.000
M0.73_272.0687n       M0.73_272.0687n   245  -0.4429534 0.00000000  0.000
M4.91_385.1013m.z   M4.91_385.1013m.z  4367  -0.4395082 0.00000000  0.000
M6.66_174.1255n       M6.66_174.1255n  3443  -0.4370539 0.00000000  0.000
M9.13_265.1807m.z   M9.13_265.1807m.z  3695  -0.4237611 0.00000000  0.000
M7.28_513.2703m.z   M7.28_513.2703m.z  2981  -0.4235976 0.00000000  0.000
M4.01_314.0348n       M4.01_314.0348n   276  -0.4229734 0.00000000  0.000
M10.93_519.3316n     M10.93_519.3316n    23  -0.4220214 0.00000000  0.000
M10.65_481.2236m.z M10.65_481.2236m.z  4388  -0.4138802 0.00000000  0.000
M10.13_271.2414m.z M10.13_271.2414m.z  1792  -0.4134480 0.00000000  0.000
M1.15_123.0552m.z   M1.15_123.0552m.z  1173  -0.4124894 0.00000000  0.000
M1.27_149.0840n       M1.27_149.0840n  2629  -0.4077210 0.00000000  0.000
M10.87_501.2846n     M10.87_501.2846n   306  -0.4067850 0.00000000  0.000
M9.50_302.2238n       M9.50_302.2238n  3459  -0.4050135 0.00000000  0.000
M0.56_263.0866m.z   M0.56_263.0866m.z  2442  -0.4046072 0.00000000  0.000
M4.01_242.0202n       M4.01_242.0202n   772  -0.4028455 0.00000000  0.000
M10.92_505.3166n     M10.92_505.3166n   216  -0.3984579 0.00000000  0.000
M10.92_519.3323n     M10.92_519.3323n    50  -0.3983613 0.00000000  0.000
M12.33_355.2850m.z M12.33_355.2850m.z  5069  -0.3983233 0.02913303  0.001
M10.92_497.2283m.z M10.92_497.2283m.z  3172  -0.3981324 0.00000000  0.000
M8.99_530.2713n       M8.99_530.2713n  4433  -0.3974664 0.00000000  0.000
M10.72_337.2726m.z M10.72_337.2726m.z  2221  -0.3966333 0.00000000  0.000
M4.66_271.2418m.z   M4.66_271.2418m.z  2126  -0.3941132 0.00000000  0.000
M9.11_542.2728n       M9.11_542.2728n  1894  -0.3917147 0.00000000  0.000
M10.77_504.3093m.z M10.77_504.3093m.z   927  -0.3894935 0.00000000  0.000
M10.78_519.3326n     M10.78_519.3326n   236  -0.3888400 0.00000000  0.000
M11.50_269.2712n     M11.50_269.2712n  1485  -0.3874334 0.00000000  0.000
M5.96_504.3092m.z   M5.96_504.3092m.z   660  -0.3872306 0.02913303  0.001
M9.50_338.2446n       M9.50_338.2446n  3086  -0.3863622 0.00000000  0.000
M10.78_519.3316n     M10.78_519.3316n    94  -0.3855633 0.02913303  0.001
M10.93_544.3395m.z M10.93_544.3395m.z    84  -0.3835539 0.02913303  0.001
M10.78_240.0987m.z M10.78_240.0987m.z  2617  -0.3831002 0.00000000  0.000
M12.44_203.0671m.z M12.44_203.0671m.z  5377  -0.3829928 0.00000000  0.000
M4.01_198.0566n       M4.01_198.0566n   270  -0.3816189 0.00000000  0.000
M10.01_453.2253m.z M10.01_453.2253m.z  3169  -0.3799326 0.02913303  0.001
M10.12_339.2741n     M10.12_339.2741n   896  -0.3795839 0.02913303  0.001
M9.05_513.2699m.z   M9.05_513.2699m.z  4839  -0.3772191 0.00000000  0.000
M10.26_270.2188n     M10.26_270.2188n  1906  -0.3757341 0.00000000  0.000
M10.02_453.2846n     M10.02_453.2846n    27  -0.3753884 0.00000000  0.000
M10.01_439.2696n     M10.01_439.2696n   174  -0.3751668 0.02913303  0.001
M9.83_285.1732m.z   M9.83_285.1732m.z  2499  -0.3748258 0.00000000  0.000
