                            Variables index correlation      qvalue pvalue
M6.05_312.2160m.z   M6.05_312.2160m.z  2580  -0.6062570 0.000000000  0.000
M7.18_141.0918m.z   M7.18_141.0918m.z  3917  -0.5653105 0.000000000  0.000
M8.46_147.1178m.z   M8.46_147.1178m.z  5066  -0.5614887 0.000000000  0.000
M6.22_312.2159m.z   M6.22_312.2159m.z  2850  -0.5514207 0.000000000  0.000
M7.75_178.0531m.z   M7.75_178.0531m.z  4530  -0.5349315 0.000000000  0.000
M5.75_310.1997m.z   M5.75_310.1997m.z   961  -0.5298293 0.000000000  0.000
M7.50_118.0088n       M7.50_118.0088n  2082  -0.5170693 0.000000000  0.000
M7.58_189.0692m.z   M7.58_189.0692m.z  3119  -0.5168032 0.000000000  0.000
M10.66_249.1859m.z M10.66_249.1859m.z  3306  -0.5082501 0.000000000  0.000
M9.47_183.1389m.z   M9.47_183.1389m.z  1534  -0.5048722 0.000000000  0.000
M6.04_225.0766m.z   M6.04_225.0766m.z  5023  -0.5025399 0.000000000  0.000
M9.25_239.1651m.z   M9.25_239.1651m.z  4343  -0.4961219 0.000000000  0.000
M4.90_285.1932n       M4.90_285.1932n   457  -0.4957691 0.000000000  0.000
M9.47_265.1419m.z   M9.47_265.1419m.z  2746  -0.4948093 0.000000000  0.000
M9.38_379.1712m.z   M9.38_379.1712m.z  4770  -0.4921830 0.000000000  0.000
M1.13_141.0920m.z   M1.13_141.0920m.z  1684  -0.4913667 0.000000000  0.000
M4.89_141.0919m.z   M4.89_141.0919m.z  4077  -0.4886315 0.000000000  0.000
M10.74_279.0654m.z M10.74_279.0654m.z  3590  -0.4831715 0.000000000  0.000
M14.24_232.1403m.z M14.24_232.1403m.z  1499  -0.4816620 0.000000000  0.000
M6.97_151.1127m.z   M6.97_151.1127m.z  5918  -0.4797702 0.000000000  0.000
M9.38_215.1652m.z   M9.38_215.1652m.z  1716  -0.4769270 0.000000000  0.000
M10.80_262.0679m.z M10.80_262.0679m.z  2840  -0.4739186 0.000000000  0.000
M8.01_211.0103m.z   M8.01_211.0103m.z  5789  -0.4734746 0.000000000  0.000
M9.19_88.0392m.z     M9.19_88.0392m.z  6088  -0.4725071 0.000000000  0.000
M5.87_85.0284m.z     M5.87_85.0284m.z  5386  -0.4712358 0.000000000  0.000
M6.08_135.0813m.z   M6.08_135.0813m.z  6018  -0.4703426 0.000000000  0.000
M8.87_193.1233m.z   M8.87_193.1233m.z  2005  -0.4676960 0.000000000  0.000
